id1,id2,mu,sigma,alpha1,beta1,pi1,alpha2,beta2,pi2,age1,age2,species1,species2,sex1,sex2,zoo,dist,cv,delta,u
66,65,134.00104610577344,75.63190885351766,14.903793471199394,2.5382718451432265,0.1944552058907235,19.877989928251555,9.918384920452892,0.8713695012772541,young,young,Blessbock,Blessbock,female,female,10.0,1.0,0.5644128240149541,370.0,0.009614329296861087
100,99,121.24832347178636,79.7788369973708,19.77079402618103,2.674431881170651,0.235810099904856,6.575118602666159,2.058460039164856,0.1762471231821453,young,subadult,Säbelantilope,Säbelantilope,male,male,4.0,99.0,0.6579788875673385,,
85,73,120.17629037418952,54.81211837881819,9.83598637519766,2.9839034465089056,0.3006274247916836,11.207941895294432,5.253056595323466,0.0506791675404794,young,adult,Streifengnu,Streifengnu,female,female,,,0.4560976063427424,,
67,61,84.91264520976985,31.997326595061963,23.34953983268148,3.3456143697427034,0.1641660973740738,4.315780293349768,2.2017801084978776,1.1920929397753008e-09,young,adult,Blessbock,Blessbock,female,female,8.0,1.0,0.3768264021926905,-122.0,0.2063911612460428
65,62,129.49087765845124,43.56198488618569,11.059163570260967,5.826770457384695,0.8276842219774215,21.74392045915217,7.02540613511652,0.1343888312578447,young,adult,Blessbock,Blessbock,female,female,,,0.3364096813142776,,
42,29,89.8620987896133,41.6364954482783,13.683254315719546,3.548055081080719,0.1914834360452714,7.1000700700928,4.262390299958808,1.1920928956670251e-09,young,adult,Elenantilope,Elenantilope,female,female,,,0.4633376697083203,,
85,72,108.36253784207884,72.36859610883981,8.618937205825285,2.456799189261658,0.1957173631049576,7.051370785195819,2.3669047936075005,0.0256099396949402,young,adult,Streifengnu,Streifengnu,female,female,,,0.6678377744742886,,
42,20,188.5249455556552,53.627599685973536,17.03603771163149,12.597189462818022,1.0,13.044696820785042,7.86769677497167,0.122288727318664,young,adult,Elenantilope,Elenantilope,female,female,,,0.284458905573013,,
85,70,32.83412473858273,138.71730103840758,6.4964507510852965,1.8291154187945549,0.0774564715837328,8.875791713890782,2.300491319616788,0.1037550328596236,young,adult,Streifengnu,Streifengnu,female,female,14.0,1.0,4.224790584272942,-1040.0,0.24033478718063747
85,74,212.93361962489368,57.01681159460431,11.97212196065852,7.785557351962961,0.9999999999999996,36.178569417373765,26.46428039699832,0.2581337707318415,young,adult,Streifengnu,Streifengnu,female,female,,,0.2677680100260625,,
42,26,94.23588206766648,43.49235436722675,13.536315601863445,3.522569047940387,0.1885996645644942,4.909580322421359,3.53309131297744,0.037901144090121,young,adult,Elenantilope,Elenantilope,female,female,,,0.4615264739178318,,
